id,spcode,treatment,family,nfixer,init_height,rmf,smf,lmf,whole_leaf_dry_weight,root_dry_weight,stem_dry_weight,totalbiom,above_biom,below_biom,la,ldmc,d13c,amax,gs,wue,sla_cm2_g,CN,Narea_g_m2,Nmass_mg_g,totalleafmass_Nmass,rgr,agr
59,sg,ambientrain_nutrients,nonlegume,nonfixer,8.5,41.02159031,10.74249605,48.23591364,3.664,3.116,0.816,7.596,1.298359136,0.410215903,0.00350496,0.43258427,-29.27191968,5.397,0.197,1.825,91.03792,40.37321674,1.237468345,11.26565468,41.27735875,0.004537206,0.047058824
60,sg,ambientrain_nutrients,nonlegume,nonfixer,11,37.28103009,13.66971103,49.04925887,3.276,2.49,0.913,6.679,1.403492589,0.372810301,0.00291498,0.433908046,-29.45471789,4.174,0.068,3.124,96.52252,45.14502844,1.061985957,10.25055571,33.58082051,0.001023663,0.011764706
65,sm,ambientrain,nonlegume,nonfixer,16,42.69845972,25.5035545,31.79798578,2.147,2.883,1.722,6.752,2.039979858,0.426984597,0.00195505,0.487252125,-31.03864229,4.17,0.09,2.811,113.6657,39.64796569,1.023798826,11.63708078,24.98481243,7.13E-04,0.011764706
66,sm,ambientrain,nonlegume,nonfixer,20,36.76038607,30.2839558,32.95565813,2.356,2.628,2.165,7.149,2.494556581,0.367603861,0.00448323,0.520754717,-30.1773513,4.503,0.103,2.724,108.29058,51.191935,0.821440234,8.89542391,20.95761873,0.001385683,0.029411765
67,sm,ambientrain,nonlegume,nonfixer,19.5,35.94998711,25.94740913,38.10260376,2.956,2.789,2.013,7.758,2.394026038,0.359499871,0.00411227,0.476377953,-31.15745383,5.153,0.107,3.086,113.28567,45.98526029,0.90407934,10.24192382,30.27512681,0.001419153,0.029411765
68,sm,ambientrain,nonlegume,nonfixer,23,35.31851852,34.9037037,29.77777778,2.01,2.384,2.356,6.75,2.653777778,0.353185185,0.00347268,0.443462898,-31.42805409,5.543,0.1,3.373,138.35378,50.75183474,0.659066881,9.11843975,18.3280639,9.81E-04,0.023529412
69,sm,ambientrain_water_nutrients,nonlegume,nonfixer,16.5,36.52694611,31.23128743,32.24176647,3.446,3.904,3.338,10.688,3.660417665,0.365269461,0.00663949,0.426443203,-31.60000629,7.353,0.417,1.327,144.96703,42.92101132,0.745480222,10.80700542,37.24094068,0.00311403,0.058823529
70,sm,ambientrain_water_nutrients,nonlegume,nonfixer,12.5,33.82158881,25.81155978,40.36685141,3.059,2.563,1.956,7.578,2.359668514,0.338215888,0.00829421,0.435628743,-30.26292683,7.577,0.487,1.19,142.5122,34.76023473,0.926529559,13.20417652,40.39157597,0.003266256,0.047058824
71,sm,ambientrain_water_nutrients,nonlegume,nonfixer,18,32.88071502,25.93674802,41.18253695,4.792,3.826,3.018,11.636,3.42982537,0.32880715,0.0063429,0.367807154,-29.49137823,5.16,0.438,0.849,134.09937,44.58593997,0.774945855,10.39197476,49.79834305,0.001813537,0.035294118
72,sm,ambientrain_water_nutrients,nonlegume,nonfixer,14,33.48655941,24.21305086,42.30038973,4.233,3.351,2.423,10.007,2.846003897,0.334865594,0.00887304,0.362669817,-31.0958042,7.54,0.617,1.072,144.51205,41.25029292,0.769787294,11.12435416,47.08939116,0.003592725,0.058823529
73,sm,ambientrain_water,nonlegume,nonfixer,14,41.06098037,28.85190482,30.08711481,2.314,3.158,2.219,7.691,2.519871148,0.410609804,0.00371382,0.416289593,-31.31987553,6.487,0.313,1.436,134.5587,52.41354268,0.662613328,8.91603852,20.63171314,0.003278981,0.052941176
74,sm,ambientrain_water,nonlegume,nonfixer,17,37.67751032,34.28341223,28.03907745,2.784,3.741,3.404,9.929,3.684390774,0.376775103,0.00255213,0.458733205,-30.5437369,5.35,0.343,1.125,106.78368,63.65417487,0.674074087,7.1980113,20.03926346,0.001308537,0.023529412
75,sm,ambientrain_water,nonlegume,nonfixer,16,36.71718616,31.96072824,31.3220856,3.286,3.852,3.353,10.491,3.666220856,0.367171862,0.00562645,0.574186992,-29.39396473,7.587,0.323,1.642,99.58319,46.07666406,1.024654761,10.20383855,33.52981348,0.00291572,0.052941176
76,sm,ambientrain_water,nonlegume,nonfixer,20.5,38.74803287,29.54187795,31.71008918,3.627,4.432,3.379,11.438,3.696100892,0.387480329,0.00791947,0.386744355,-30.1405968,3.11,0.297,0.707,149.14256,56.79821521,0.554197334,8.26544098,29.97875443,0.002097038,0.047058824
77,sm,ambientrain_nutrients,nonlegume,nonfixer,7,40.18039687,17.94347565,41.87612748,3.482,3.341,1.492,8.315,1.910761275,0.401803969,0.00664429,0.395348837,-30.65908949,7.253,0.167,2.71,126.07761,43.46313282,0.864946434,10.90503784,37.97134176,0.005840434,0.052941176
79,sm,ambientrain_nutrients,nonlegume,nonfixer,15,33.86593205,23.12213039,43.01193756,2.342,1.844,1.259,5.445,1.689119376,0.33865932,0.00709919,0.324937028,-30.73828173,7.457,0.137,3.164,183.4416,31.89195763,0.775420515,14.22443816,33.31363417,0.0024673,0.041176471
80,sm,ambientrain_nutrients,nonlegume,nonfixer,15.5,44.64828897,23.02281369,32.32889734,3.401,4.697,2.422,10.52,2.745288973,0.44648289,0.01396633,0.412721186,-29.0226466,7.323,0.08,4.704,161.83465,28.18868205,1.047219339,16.94763717,57.63891402,0.001759197,0.029411765
85,pq,ambientrain,nonlegume,nonfixer,9,57.30337079,19.1898285,23.50680071,0.795,1.938,0.649,3.382,0.884068007,0.573033708,0.00315354,0.320987654,-29.33605317,7.907,0.087,5.428,202.15,22.58362303,0.995621305,20.12648468,16.00055532,0.006395476,0.076470588
86,pq,ambientrain,nonlegume,nonfixer,10,57.92674499,20.2073255,21.86592951,1.582,4.191,1.462,7.235,1.680659295,0.57926745,0.00397254,0.289873418,-29.09837198,5.753,0.28,1.189,173.47336,23.94410725,1.119692624,19.42368444,30.72826878,0.006915137,0.094117647
87,pq,ambientrain,nonlegume,nonfixer,8,50.2722323,22.84734826,26.88041944,1.333,2.493,1.133,4.959,1.401804194,0.502722323,0.00358974,0.316558442,-29.43869736,6.31,0.07,4.93,184.08923,27.47377406,0.907080614,16.69837724,22.25893686,0.008867904,0.105882353
88,pq,ambientrain,nonlegume,nonfixer,9.5,57.84313725,18.26625387,23.89060888,1.389,3.363,1.062,5.814,1.300906089,0.578431373,0.00255897,0.382550336,-29.41714485,8.423,0.097,5.309,149.64737,23.32727996,1.317158927,19.71093672,27.3784911,0.004561947,0.052941176
89,pq,ambientrain_water_nutrients,nonlegume,nonfixer,8.5,59.29191156,18.42989085,22.27819759,1.592,4.237,1.317,7.146,1.539781976,0.592919116,0.0057428,0.271497585,-30.07910129,6.583,0.413,1.097,204.37011,22.25545416,1.015064242,20.74487876,33.02584699,0.007441442,0.088235294
90,pq,ambientrain_water_nutrients,nonlegume,nonfixer,10.5,55.08650519,19.46020761,25.4532872,1.839,3.98,1.406,7.225,1.660532872,0.550865052,0.00735935,0.294701987,-29.48443639,4.37,0.23,1.104,206.72331,23.60401241,0.95123787,19.66430454,36.16265605,0.005668683,0.076470588
91,pq,ambientrain_water_nutrients,nonlegume,nonfixer,12,49.53914219,25.58682561,24.8740322,2.024,4.031,2.082,8.137,2.330740322,0.495391422,0.00812469,0.330490405,-28.71757695,7.38,0.31,1.505,174.72452,23.64631555,1.11598807,19.49904756,39.46607226,0.00996821,0.188235294
92,pq,ambientrain_water_nutrients,nonlegume,nonfixer,13,53.58042839,23.06803864,23.35153297,2.224,5.103,2.197,9.524,2.43051533,0.535804284,0.00548788,0.353219697,-29.28898655,7.457,0.413,1.317,147.12815,27.58818471,1.148667667,16.90013489,37.5859,0.005068034,0.082352941
94,pq,ambientrain_water,nonlegume,nonfixer,8,68.45576529,14.89652035,16.64771435,0.732,3.01,0.655,4.397,0.821477144,0.684557653,0.00172765,0.282913165,-29.99999819,7.383,0.313,1.665,171.05446,25.22911708,1.085305661,18.56463689,13.5893142,0.003746514,0.035294118
95,pq,ambientrain_water,nonlegume,nonfixer,9.5,40.79919409,17.05842848,42.14237743,1.255,1.215,0.508,2.978,0.929423774,0.407991941,0.00193497,0.324404762,-29.22949759,6.147,0.277,1.494,177.52018,30.83850338,0.813445808,14.44030491,18.12258266,0.004134093,0.047058824
