id,family,Nfixer,spcode,treatment,LA,SLA,LDMC,LT,Amax,gs,WUE,d13c,CN,Narea,Nmass,TD,total_biom,above_biom,below_biom,initHeight,rgr,agr
88,nonlegume,nonFixer,pq,ambientrain,0.00255897,149.64737,0.382550336,0.21,8.423,0.097,5.309,-29.41714485,23.3272799629788,1.31715892688074,19.71093672,0.318208382940827,5.814,2.451,3.363,9.5,0.004561947,0.052941176
89,nonlegume,nonFixer,pq,ambientrain_water_nutrients,0.0057428,204.37011,0.271497585,0.26,6.583,0.413,1.097,-30.07910129,22.2554541552789,1.01506424245316,20.74487876,0.188195516758975,7.146,2.909,4.237,8.5,0.007441442,0.088235294
90,nonlegume,nonFixer,pq,ambientrain_water_nutrients,0.00735935,206.72331,0.294701987,0.19,4.37,0.23,1.104,-29.48443639,23.6040124051089,0.951237869681425,19.66430454,0.254599149691287,7.225,3.245,3.98,10.5,0.005668683,0.076470588
91,nonlegume,nonFixer,pq,ambientrain_water_nutrients,0.00812469,174.72452,0.330490405,0.22,7.38,0.31,1.505,-28.71757695,23.6463155485529,1.1159880703633,19.49904756,0.260149780091228,8.137,4.106,4.031,12,0.00996821,0.188235294
92,nonlegume,nonFixer,pq,ambientrain_water_nutrients,0.00548788,147.12815,0.353219697,0.24,7.457,0.413,1.317,-29.28898655,27.5881847118204,1.14866766656159,16.90013489,0.283199827270761,9.524,4.421,5.103,13,0.005068034,0.082352941
94,nonlegume,nonFixer,pq,ambientrain_water,0.00172765,171.05446,0.282913165,0.25,7.383,0.313,1.665,-29.99999819,25.2291170829358,1.08530566138396,18.56463689,0.23384365423737,4.397,1.387,3.01,8,0.003746514,0.035294118
95,nonlegume,nonFixer,pq,ambientrain_water,0.00193497,177.52018,0.324404762,0.17,6.147,0.277,1.494,-29.22949759,30.8385033817129,0.813445808043536,14.44030491,0.331362493051577,2.978,1.763,1.215,9.5,0.004134093,0.047058824
96,nonlegume,nonFixer,pq,ambientrain_water,0.00161297,194.33373,0.25304878,0.28,7.413,0.263,2.055,-29.64901316,22.2109004380482,1.11069690482154,21.58458779,0.183778110543577,1.491,0.72,0.771,12,0.001385683,0.017647059
97,nonlegume,nonFixer,pq,ambientrain_nutrients,0.00501207,192.03333,0.296928328,0.23,5.38,0.103,2.783,-29.84014171,23.613969746904,1.02091201926749,19.60491381,0.226409972006241,6.019,3.099,2.92,10.5,0.008154673,0.123529412
98,nonlegume,nonFixer,pq,ambientrain_nutrients,0.00559258,229.2041,0.271714922,0.18,6.02,0.075,4.068,-28.6209808,19.2334766883662,1.03049837672774,23.61944513,0.242384649993414,2.883,1.66,1.223,7.5,0.009275969,0.105882353
99,nonlegume,nonFixer,pq,ambientrain_nutrients,0.0055902,173.6087,0.296228151,0.21,6.575,0.14,2.798,-28.11755881,19.0439862413704,1.38160776048084,23.98591212,0.274289523618618,4.901,2.496,2.405,7.5,0.007755831,0.082352941
100,nonlegume,nonFixer,pq,ambientrain_nutrients,0.0031838,164.1134,0.300775194,0.22,6.19,0.113,3.02,-28.51291803,22.3781308661194,1.19543967911929,19.61876727,0.276970347665367,5.761,2.882,2.879,9,0.008154673,0.105882353
105,legume,fixer,gs,ambientrain,0.00831459,123.17911,0.288708298,0.29,11.003,0.21,3.006,-30.02107136,12.6429153215863,3.14427464613409,38.7308956,0.279939988368885,13.721,4.987,8.734,12.5,0.004926004,0.076470588
106,legume,fixer,gs,ambientrain,0.0040991,144.84452,0.240646259,0.28,12.113,0.24,3.245,-28.77400064,18.2559887651805,1.76561392146081,25.57395062,0.246569809574333,8.444,3.514,4.93,13,0.003156047,0.047058824
107,legume,fixer,gs,ambientrain,0.00703572,143.00244,0.271523179,0.28,6.303,0.15,2.292,-28.13491318,17.9995465407828,1.84192419232147,26.3399652,0.249745988350169,11.111,5.4,5.711,20,0.003086638,0.070588235
108,legume,fixer,gs,ambientrain,0.0050489,150.71343,0.264822134,0.28,12.837,0.3,2.893,-27.6046769,20.2897912917354,1.5151440585177,22.83525623,0.236968170084681,11.33,3.775,7.555,19,6.03E-04,0.011764706
109,legume,fixer,gs,ambientrain_water_nutrients,0.01134191,159.52053,0.268707483,0.26,15.943,0.483,2.597,-27.3125962,17.2004752752735,1.68341301520555,26.85389439,0.241107138131615,19.467,8.406,11.061,17.5,0.006535598,0.152941176
110,legume,fixer,gs,ambientrain_water_nutrients,0.00995339,147.89584,0.259945925,0.28,13.343,0.44,2.264,-28.46728759,15.7269629950278,1.97399343307155,29.1945416,0.24148269291608,17.14,9.546,7.594,17.5,0.007100412,0.170588235
111,legume,fixer,gs,ambientrain_water_nutrients,0.00771056,168.35284,0.25572306,0.29,11.377,0.41,1.983,-27.11504451,15.6447153001533,1.75956230893476,29.62273091,0.204824335726618,15.883,8.052,7.831,16.5,0.006221696,0.135294118
113,legume,fixer,gs,ambientrain_water,0.0061778,140.40455,0.257159556,0.3,11.267,0.27,2.877,-28.52319972,16.6358758553195,1.96840464747969,27.63729598,0.237409210266571,17.555,7.371,10.184,15.5,0.00716546,0.152941176
114,legume,fixer,gs,ambientrain_water,0.00594895,152.14706,0.269469331,0.27,12.48,0.283,2.907,-27.72655872,18.8119461745456,1.61122832472453,24.51436507,0.243429199598316,13.746,5.264,8.482,16,0.004770178,0.094117647
115,legume,fixer,gs,ambientrain_water,0.00818567,111.82609,0.328545781,0.29,16.447,0.35,3.389,-27.41167842,20.487465269567,2.00690894752415,22.44247864,0.308360585805063,15.51,6.594,8.916,15.5,0.004384415,0.082352941
117,legume,fixer,gs,ambientrain_nutrients,0.0100953,150.90135,0.328424153,0.27,8.46,0.07,5.958,-27.84814935,15.5446124501958,1.97296058775965,29.77224069,0.245438738865073,13.488,6.263,7.225,12.5,0.008154673,0.147058824
118,legume,fixer,gs,ambientrain_nutrients,0.00996229,156.14875,0.268405553,0.26,8.33,0.1,4.462,-27.52771884,13.5040117557111,2.21885217137224,34.64709843,0.24631345727416,22.275,5.419,16.856,17.5,0.005737685,0.129411765
119,legume,fixer,gs,ambientrain_nutrients,0.00628784,142.58141,0.29205298,0.27,10.9,0.09,6.45,-26.65897719,13.6786413709923,2.40034329967525,34.22443223,0.25976063104606,17.011,6.78,10.231,13.5,0.006268289,0.111764706
