id,family,nfixer,spcode,treatment,amax,gs,wue,init_height
152,nonlegume,nonFixer,to,ambientrain_water_nutrients,4.64,0.19,1.193,6
154,nonlegume,nonFixer,to,ambientrain_water,6.197,0.22,1.543,6
155,nonlegume,nonFixer,to,ambientrain_water,6.18,0.247,1.438,6
156,nonlegume,nonFixer,to,ambientrain_water,4.38,0.11,1.97,4.5
157,nonlegume,nonFixer,to,ambientrain_nutrients,4.3,0.14,1.949,4.5
158,nonlegume,nonFixer,to,ambientrain_nutrients,3.45,0.105,1.783,5
159,nonlegume,nonFixer,to,ambientrain_nutrients,3.865,0.08,2.771,4.5
20,NA,NA,ec,NA,NA,NA,NA,NA
56,NA,NA,sg,NA,NA,NA,NA,NA
78,NA,NA,sm,NA,NA,NA,NA,NA
112,NA,NA,gs,NA,NA,NA,NA,NA
120,NA,NA,gs,NA,NA,NA,NA,NA
139,NA,NA,dr,NA,NA,NA,NA,NA
160,NA,NA,to,NA,NA,NA,NA,NA
