id,family,Nfixer,spcode,treatment,la_m2,sla_cm2_g,ldmc_g_g,leafthick_mm,amax_umol_m2_s1,gs_mol_m2_s2,wue_umol_mmol,d13c_perMil,CN,Narea_g_m2,Nmass_g_m2,tissueDensity_g_cm3,total_biomass_g,above_biom_g,below_biom_g,initial_height_cm,rgr,agr
76,nonlegume,nonFixer,sm,ambientrain_water,0.00791947,149.14256,0.386744355,0.18,3.11,0.297,0.707,-30.1405968,56.79821521150104,0.5541973339604798,8.26544098,0.3724996778622786,11.438,7.006,4.432,20.5,0.002097038,0.047058824
77,nonlegume,nonFixer,sm,ambientrain_nutrients,0.00664429,126.07761,0.395348837,0.21,7.253,0.167,2.71,-30.65908949,43.46313282485593,0.8649464339575786,10.90503784,0.3776963064183056,8.315,4.974,3.341,7,0.005840434,0.052941176
79,nonlegume,nonFixer,sm,ambientrain_nutrients,0.00709919,183.4416,0.324937028,0.17,7.457,0.137,3.164,-30.73828173,31.891957629347946,0.7754205152869552,14.224438159999998,0.3206662469786826,5.445,3.601,1.844,15,0.0024673,0.041176471
80,nonlegume,nonFixer,sm,ambientrain_nutrients,0.01396633,161.83465,0.412721186,0.18,7.323,0.08,4.704,-29.0226466,28.18868204504994,1.047219339490761,16.947637170000004,0.34328591284719034,10.52,5.823,4.697,15.5,0.001759197,0.029411765
85,nonlegume,nonFixer,pq,ambientrain,0.00315354,202.15,0.320987654,0.17,7.907,0.087,5.428,-29.33605317,22.583623033369182,0.9956213049715559,20.12648468,0.2909895098281706,3.382,1.444,1.938,9,0.006395476,0.076470588
86,nonlegume,nonFixer,pq,ambientrain,0.00397254,173.47336,0.289873418,0.26,5.753,0.28,1.189,-29.09837198,23.94410724889227,1.1196926240541316,19.42368444,0.22171438001511273,7.235,3.044,4.191,10,0.006915137,0.094117647
87,nonlegume,nonFixer,pq,ambientrain,0.00358974,184.08923,0.316558442,0.18,6.31,0.07,4.93,-29.43869736,27.4737740563825,0.9070806135820421,16.69837724,0.3017860173327661,4.959,2.466,2.493,8,0.008867904,0.105882353
88,nonlegume,nonFixer,pq,ambientrain,0.00255897,149.64737,0.382550336,0.21,8.423,0.097,5.309,-29.41714485,23.32727996297885,1.3171589268807375,19.710936720000003,0.318208382940827,5.814,2.451,3.363,9.5,0.004561947,0.052941176
89,nonlegume,nonFixer,pq,ambientrain_water_nutrients,0.0057428,204.37011,0.271497585,0.26,6.583,0.413,1.097,-30.07910129,22.255454155278947,1.0150642424531588,20.744878760000002,0.18819551675897447,7.146,2.909,4.237,8.5,0.007441442,0.088235294
90,nonlegume,nonFixer,pq,ambientrain_water_nutrients,0.00735935,206.72331,0.294701987,0.19,4.37,0.23,1.104,-29.48443639,23.60401240510894,0.9512378696814257,19.66430454,0.25459914969128744,7.225,3.245,3.98,10.5,0.005668683,0.076470588
