id,spcode,treatment,family,nfixer,init_height,rmf,smf,lmf,whole_leaf_dry_weight,root_dry_weight,stem_dry_weight,totalbiom,above_biom,below_biom,la,ldmc,d13c,sla_cm2_g,CN,Narea_g_m2,Nmass_mg_g,totalleafmass_Nmass
39,hc,ambientrain_nutrients,Legume,nonfixer,29,38.4183609829113,33.8405887489086,27.7410502681801,2.224,3.08,2.713,8.017,2.9904105026818,0.384183609829113,0.00282922,0.49471831,-28.71261277,100.68399,31.1966405215498,1.57922513388496,15.90026809,35.36219623216
40,hc,ambientrain_nutrients,Legume,nonfixer,27,42.5576301241264,29.2375091269427,28.2048607489308,2.704,4.08,2.803,9.587,3.08504860748931,0.425576301241264,0.00274951,0.547058824,-28.3375106,98.54875,32.1442316517518,1.61786279428698,15.94383488,43.11212951552
41,sg,Harvestatthebegging,nonlegume,nonfixer,11,31.9417475728155,16.4077669902913,51.6504854368932,0.532,0.329,0.169,1.03,0.685504854368932,0.319417475728155,0.00309599,0.231601732,-29.47432671,289.34486,19.7489155591354,0.824802179151095,23.86522709,12.69630081188
42,sg,Harvestatthebegging,nonlegume,nonfixer,9,25.8750857927248,17.7076183939602,56.417295813315,0.822,0.377,0.258,1.457,0.82217295813315,0.258750857927248,0.00326405,0.326241135,-28.92920513,177.39402,21.5797505115417,1.2286035891362,21.79469318,17.91523779396
43,sg,Harvestatthebegging,nonlegume,nonfixer,12,40.3648802736602,14.9372862029647,44.6978335233751,0.784,0.708,0.262,1.754,0.708978335233752,0.403648802736602,0.00313565,0.285714286,-27.94457795,184.45,18.4163643728884,1.37245890051504,25.31500442,19.84696346528
44,sg,Harvestatthebegging,nonlegume,nonfixer,12,35.4451119606772,17.203713817586,47.3511742217368,0.867,0.649,0.315,1.831,0.788511742217368,0.354451119606772,0.0030155,0.300934579,-28.29232966,187.29814,21.9333436504962,1.15476965106616,21.62862039,18.75201387813
45,sg,ambientrain,nonlegume,nonfixer,9.5,43.6398104265403,13.4407582938389,42.9194312796208,2.264,2.302,0.709,5.275,1.13819431279621,0.436398104265403,0.00461617,0.394543547,-29.20989432,122.77048,49.6992881835704,0.754098260124735,9.25810044,20.96033939616
46,sg,ambientrain,nonlegume,nonfixer,7,37.1322813169686,9.09799337619326,53.7697253068381,2.76,1.906,0.467,5.133,1.00469725306838,0.371322813169686,0.0039184,0.45035461,-29.42192067,102.84514,52.2442985424824,0.842768715450184,8.66746702,23.9222089752
47,sg,ambientrain,nonlegume,nonfixer,8.5,38.8985507246377,17.5652173913043,43.536231884058,0.751,0.671,0.303,1.725,0.73836231884058,0.388985507246377,0.00198826,0.295652174,-30.00182904,194.92745,30.8419190687892,0.764336113003329,14.89900902,11.18915577402
48,sg,ambientrain,nonlegume,nonfixer,13,40.7400622824693,13.8853269829639,45.3746107345668,2.477,2.224,0.758,5.459,1.21174610734567,0.407400622824693,0.00452874,0.413114754,-29.05556161,119.80794,51.0948074618942,0.742546692589992,8.8962987,22.0361318799
49,sg,ambientrain_water_nutrients,nonlegume,nonfixer,9,41.1179655042176,12.8918544630492,45.9901800327332,3.653,3.266,1.024,7.943,1.48390180032733,0.411179655042176,0.00455177,0.424669604,-29.71993304,94.43506,39.6128070140481,1.20757797362784,11.40377011,41.65797221183
